분류1,분류2,이름,태그목록,NSFW
동사,동사 ㄱ,누구를 껴안다,cuddling,FALSE
동사,동사 ㄱ,누구의 귀를 청소하다,earcleaning,FALSE
동사,동사 ㄱ,누군가 감동하다,touching,FALSE
동사,동사 ㄱ,누군가 곧 죽다,dying,FALSE
동사,동사 ㄱ,누군가 구토하다,vomiting,FALSE
동사,동사 ㄱ,누군가 귓가에 속삭이다,whispering,FALSE
동사,동사 ㄱ,누군가 균형잡다,balancing,FALSE
동사,동사 ㄱ,누군가 기도하다,praying,FALSE
동사,동사 ㄱ,누군가 기저귀를 갈다,diaperchanging,FALSE
동사,동사 ㄱ,누군가 꽃에 물을 주다,gardening,FALSE
동사,동사 ㄱ,누군가 꿈꾸다,dreaming,FALSE
동사,동사 ㄴ,누군가 날개를 펄럭이다,flapping,FALSE
동사,동사 ㄴ,누군가 내려오다,landing,FALSE
동사,동사 ㄴ,누군가 네 발로 걷다,crawling,FALSE
동사,동사 ㄴ,누군가 노래하다,singing,FALSE
동사,동사 ㄴ,누군가 노크하다,knocking,FALSE
동사,동사 ㄴ,누군가 놀다,playing,FALSE
동사,동사 ㄴ,누군가 눈을 깜빡이다,blinking,FALSE
동사,동사 ㄷ,누구를 도발하다,trolling,FALSE
동사,동사 ㄷ,누구를 뒤에서 껴안다,hugfrombehind,FALSE
동사,동사 ㄷ,누구를 따라하다,imitating,FALSE
동사,동사 ㄷ,누구를 때리다,hitting,FALSE
동사,동사 ㄷ,누군가 담배를 피다,smoking,FALSE
동사,동사 ㄷ,누군가 대기하다,waiting,FALSE
동사,동사 ㄷ,누군가 도망치다,fleeing,FALSE
동사,동사 ㄷ,누군가 도주하다,running,FALSE
동사,동사 ㄷ,누군가 등반하다,climbing,FALSE
동사,동사 ㄷ,누군가 땅을 파다,digging,FALSE
동사,동사 ㄹ,누군가 로프를 타고 내려온다,rappelling,FALSE
동사,동사 ㅁ,누구를 말리다,blocking,FALSE
동사,동사 ㅁ,누구를 매달다,catching,FALSE
동사,동사 ㅁ,누구의 마음을 읽다,mindreading,FALSE
동사,동사 ㅁ,누구의 무릎을 껴안다,sittingonlap,FALSE
동사,동사 ㅁ,누군가 매다 끈을 풀다,untying,FALSE
동사,동사 ㅁ,누군가 매다 목도리를 매다,scarftying,FALSE
동사,동사 ㅁ,누군가 매다 장식을 매다,tying,FALSE
동사,동사 ㅁ,누군가 매우 저항하다,resisting,FALSE
동사,동사 ㅁ,누군가 모유를 수유하다,breastfeeding,FALSE
동사,동사 ㅁ,누군가 목욕하다,bathing,FALSE
동사,동사 ㅁ,누군가 목욕하며 비누를 쓰다,soap,FALSE
동사,동사 ㅁ,누군가 목욕하며 거품을 쓰다,shampoo,FALSE
동사,동사 ㅁ,누군가 목욕을 같이 한다,mixedbathing,FALSE
동사,동사 ㅁ,누군가 목욕을 함께 한다,sharedbathing,FALSE
동사,동사 ㅁ,누군가 옷을 입고 목욕하다,clothedbath,FALSE
동사,동사 ㅁ,누군가 목을 조르다,strangling,FALSE
동사,동사 ㅁ,누군가 몸을 떨다,trembling,FALSE
동사,동사 ㅁ,누군가 몸을 말리다,drying,FALSE
동사,동사 ㅁ,누군가 몸을 웅크리다,cowering,FALSE
동사,동사 ㅁ,누군가 무릎꿇고 인사하다,bowing,FALSE
동사,동사 ㅁ,누군가 무릎을 꿇다,kneeing,FALSE
동사,동사 ㅁ,누군가 문자 메시지를 보내다,textmessaging,FALSE
동사,동사 ㅁ,누군가 물 속에 다이빙하다,diving=(differentfromdive),FALSE
동사,동사 ㅁ,누군가 물을 넘어가다,wading,FALSE
동사,동사 ㅁ,누군가 물을 높게 잔에 붓다,decantering,FALSE
동사,동사 ㅁ,누군가 물을 분출하다,squirtingliquid,FALSE
동사,동사 ㅁ,누군가 물을 뿌리다,watering,FALSE
동사,동사 ㅁ,누군가 물을 잔에 붓다,pouring,FALSE
동사,동사 ㅁ,누군가 물이 몸에 튀다,splashing,FALSE
동사,동사 ㅁ,누군가 미끄러지다,slipping,FALSE
동사,동사 ㅅ,누구와 실수로 부딪힌다,bumping,FALSE
동사,동사 ㅅ,누군가 사과하다,apologizing,FALSE
동사,동사 ㅅ,누군가 사람을 쌓다,stacking,FALSE
동사,동사 ㅅ,누군가 소리를 엿듣다,eavesdropping,FALSE
동사,동사 ㅅ,누군가 소리를 크게 낸다,screaming,FALSE
동사,동사 ㅅ,누군가 소리를 크게 외치다,shouting,FALSE
동사,동사 ㅅ,누군가 술을 마시다,drinking,FALSE
동사,동사 ㅅ,누군가 숨죽여 웃다,giggling,FALSE
동사,동사 ㅅ,누군가 슬라이딩하다,sliding,FALSE
동사,동사 ㅅ,누군가 신음하다,moaning,FALSE
동사,동사 ㅅ,누군가 싸우다,fighting,FALSE
동사,동사 ㅅ,누군가 결투하다,duel,FALSE
동사,동사 ㅅ,누군가 베개로 싸운다,pillow_fight,FALSE
동사,동사 ㅅ,누군가 눈으로 싸운다,snowball_fight,FALSE
동사,동사 ㅇ,누구를 위로하다,comforting,FALSE
동사,동사 ㅇ,누구를 위협하다,roaring,FALSE
동사,동사 ㅇ,누구를 유혹하다,flirting,FALSE
동사,동사 ㅇ,누구를 응원하다,cheering,FALSE
동사,동사 ㅇ,누군가 안절부절하다,_fidgeting,FALSE
동사,동사 ㅇ,누군가 어리광을 부리다,flailing,FALSE
동사,동사 ㅇ,누군가 얼굴을 찡그리다,sulking,FALSE
동사,동사 ㅇ,누군가 엉덩이를 때리다,spanking,FALSE
동사,동사 ㅇ,누군가 옷을 강제로 입히다,forceddressing,FALSE
동사,동사 ㅇ,누군가 옷을 벗고 있다,undressing,FALSE
동사,동사 ㅇ,누군가 옷을 입다,dressing,FALSE
