분류1,분류2,이름,태그목록,NSFW
의상,특징,옷의 팔을 노출하다,arm_cutout,FALSE
의상,특징,옷의 겨드랑이를 노출하다,armpit_cutout,FALSE
의상,특징,옷의 어깨를 노출하다,bare_shoulders,FALSE
의상,특징,옷의 어깨를 살짝 노출하다,shoulder_cutout,FALSE
의상,특징,옷의 옆구리를 노출하다,low-cut_armhole,FALSE
의상,특징,옷의 옆구리 위쪽을 노출하다,high-waist_sideboob,FALSE
의상,특징,옷의 옆구리를 전부 노출하다,sideless_outfit,FALSE
의상,특징,옷의 등을 노출하다,bare_back,FALSE
의상,특징,옷의 등을 숨기지 않는다,backless_outfit,FALSE
의상,특징,옷의 가슴을 노출하다,breast_slip,FALSE
의상,특징,옷의 가슴골을 노출하다,cleavage_cutout,FALSE
의상,특징,옷의 가슴 사이를 노출하다,center_opening,FALSE
의상,특징,옷의 가슴을 전부 노출하다,breastless_clothes,FALSE
의상,특징,옷의 옆가슴을 노출하다,sideboob,FALSE
의상,특징,옷의 뒷가슴을 노출하다,backboob,FALSE
의상,특징,옷의 밑가슴을 노출하다,underboob,FALSE
의상,특징,옷의 밑가슴 사이를 노출하다,underboob_cutout,FALSE
의상,특징,옷의 젖꼭지를 노출하다,nipple_slip,FALSE
의상,특징,옷의 유륜을 노출하다,areola_slip,FALSE
의상,특징,옷의 배를 노출하다,midriff,FALSE
의상,특징,옷의 배를 노출하다,stomach_cutout,FALSE
의상,특징,옷의 배꼽을 노출하다,navel_cutout,FALSE
의상,특징,옷의 다리가 노출되다,side_slit,FALSE
의상,특징,옷의 허벅지를 노출하다,zettai_ryouiki,FALSE
의상,특징,옷의 가랑이를 노출하다,crotch_cutout,FALSE
의상,특징,옷의 골반을 노출하다,hip_vent,FALSE
의상,특징,옷의 엉덩이를 노출하다,ass_cutout,FALSE
의상,특징,옷의 엉덩이를 노출하다,butt_crack,FALSE
의상,특징,옷의 소매가 없다,sleeveless,FALSE
의상,특징,옷의 단추가 없다,unbuttoned_shirt,FALSE
의상,특징,옷이 비쳐 보인다,see-through,FALSE
의상,특징,옷의 노출이 심하다,revealing_clothes,FALSE
의상,특징,옷의 선을 X자로 묶었다,cross-laced_clothes,FALSE
의상,특징,옷의 선을 X자로 묶어 노출하다,cross-laced_cutout,FALSE
의상,알몸,알몸 가슴천막,naked_tabard,TRUE
의상,알몸,알몸 가운,naked_robe,TRUE
의상,알몸,알몸 리본,naked_ribbon,TRUE
의상,알몸,알몸 망토,naked_cape,TRUE
의상,알몸,알몸 망토,naked_cloak,TRUE
