분류1,분류2,이름,태그목록,NSFW
인원,숫자,1명,1other,FALSE
인원,숫자,2명,2others,FALSE
인원,숫자,3명,3others,FALSE
인원,숫자,4명,4others,FALSE
인원,숫자,5명,5others,FALSE
인원,숫자,6명,6others,FALSE
인원,남성,남성 1명 ,1boy,FALSE
인원,남성,남성 2명,2boys,FALSE
인원,남성,남성 3명,3boys,FALSE
인원,남성,남성 4명,4boys,FALSE
인원,남성,남성 5명,5boys,FALSE
인원,남성,남성 6명,6+boys,FALSE
인원,여성,여성 1명,1girl,FALSE
인원,여성,여성 2명,2girls,FALSE
인원,여성,여성 3명,3girls,FALSE
인원,여성,여성 4명,4girls,FALSE
인원,여성,여성 5명,5girls,FALSE
인원,여성,여성 6명,6+girls,FALSE
인물,위치,아들,son,FALSE
인물,위치,딸,daughter,FALSE
인물,위치,아버지,father,FALSE
인물,위치,어머니,mother,FALSE
인물,위치,이모,aunt,FALSE
인물,위치,삼촌,uncle,FALSE
인물,위치,사촌,cousins,FALSE
인물,위치,할아버지,granddaughter,FALSE
인물,위치,할머니,grandmother,FALSE
인물,위치,형,brother,FALSE
인물,위치,누나,older_sister,FALSE
인물,위치,남동생,Younger_brother,FALSE
인물,위치,여동생,Younger_Sister,FALSE
인물,위치,형제,siblings,FALSE
인물,위치,형제,brothers,FALSE
인물,위치,자매,sisters,FALSE
인물,위치,형제와 자매,brother_and_sister,FALSE
인물,위치,의붓 형제,step-siblings,FALSE
인물,위치,이복 형제자매,half-siblings,FALSE
인물,위치,다태아,multiple_births,FALSE
인물,위치,쌍둥이,twins,FALSE
인물,위치,세 쌍둥이,triplets,FALSE
인물,위치,네 쌍둥이,quadruplets,FALSE
인물,위치,다섯 쌍둥이,sextuplets,FALSE
인물,위치,일곱 쌍둥이,septuplets,FALSE
인물,관계,아버지와 아들,father_and_son,FALSE
인물,관계,아버지와 딸,father_and_daughter,FALSE
인물,관계,어머니와 아들,mother_and_son,FALSE
인물,관계,어머니와 딸,mother_and_daughter,FALSE
인물,관계,삼촌과 남자 조카,uncle_and_nephew,FALSE
인물,관계,삼촌과 여자 조카,uncle_and_niece,FALSE
인물,관계,이모와 여자 조카,aunt_and_niece,FALSE
인물,관계,이모와 남자 조카,aunt_and_nephew,FALSE
인물,관계,할아버지와 손자,grandfather_and_grandson,FALSE
인물,관계,할아버지와 손녀,grandfather_and_granddaughter,FALSE
인물,관계,할머니와 손자,grandmother_and_grandson,FALSE
인물,관계,할머니와 손녀,grandmother_and_granddaughter,FALSE
인종,피부색,황인,yellow_man,FALSE
인종,피부색,동앙계 혼혈,a_mixed_Eastern_blood,FALSE
인종,피부색,동양계 쿼터,Eastern_Quota,FALSE
인종,피부색,백인,White_man,FALSE
인종,피부색,백인계 혼혈,a_mixed_race_of_white_blood,FALSE
인종,피부색,백인계 쿼터,white_quarter,FALSE
인종,피부색,흑인,black_man,FALSE
