분류1,분류2,이름,태그목록,NSFW
품질,완성도,명작,"masterpiece, masterpiece_portrait",FALSE
품질,완성도,뚜렷한 이미지,"distinct, distinct_image",FALSE
품질,완성도,흐릿한 이미지,"blurry, blurry_image",FALSE
품질,해상도,높은 해상도,"highres, high_resolution",FALSE
품질,해상도,낮은 해상도,"Lowres, Low_resolution",FALSE
품질,해상도,고화질,"high_quality, high_quality_anime",FALSE
품질,해상도,저화질,"Low_picture_quality, Low_picture_anime",FALSE
품질,디테일,높은 디테일,"super_detail, hyper_detail",FALSE
품질,디테일,세세한 디테일,finely_detailed,FALSE
품질,디테일,복잡한 디테일,intricate_details,FALSE
품질,디테일,특정한 디테일,detailed_*,FALSE
품질,디테일,원하는 디테일,drooling from_*,FALSE
품질,완성도,완벽한 신체,"perfect_anatomy, perfect_body, perfect_navel, perfect_face, perfect_eyes, perfect_chest, perfect_nipples, perfect_hips, perfect_arms, perfect_hands, perfect_fingers, perfect_legs, perfect_feet, perfect_toe",FALSE
품질,완성도,잘못된 신체,"missing_anatomy, missing_body, missing_navel, missing_face, missing_eyes, missing_chest, missing_nipples, missing_hips, missing_arms, missing_hands, missing_fingers, missing_legs, missing_feet, missing_toe",FALSE
품질,완성도,복수의 신체,"extra_anatomy, extra_body, extra_navel, extra_face, extra_eyes, extra_chest, extra_nipples, extra_hips, extra_arms, extra_hands, extra_fingers, extra_legs, extra_feet, extra_toe",FALSE
작화,화풍,러프,unfinished,FALSE
작화,화풍,스케치,sketch,FALSE
작화,화풍,선이 명확한,ligne_claire,FALSE
작화,화풍,손 그림,traditional_media,FALSE
작화,화풍,가짜 손 그림,faux_traditional_media,FALSE
작화,화풍,게임,CG_game_cg,FALSE
작화,화풍,픽셀,pixel_art,FALSE
작화,화풍,미소녀,"bishoujo, mishoujo",FALSE
작화,화풍,애니메이션,"anime_art_style, anime_screencap",FALSE
작화,화풍,실사체,realistic,FALSE
작화,화풍,빈실사체,semi_realistic,FALSE
작화,화풍,일본풍 실사체,"manga_realistic, manga_photorealistic",FALSE
작화,화풍,미국풍 실사체,"Cartoon_realistic, Cartoon_photorealistic",FALSE
작화,스타일,흑백,Monochrome,FALSE
작화,스타일,웹툰,"Webtoon, Korea_Webtoon",FALSE
작화,스타일,픽시브,pixiv,FALSE
작화,스타일,삽화,Illustration,FALSE
작화,스타일,에로 만화,eromanga,FALSE
작화,스타일,소년 만화,Shonen_manga,FALSE
작화,스타일,애니메이션,"animation, Japanese_animation",FALSE
작화,스타일,디즈니,Disney,FALSE
작화,스타일,카툰,Cartoon,FALSE
작화,스타일,카툰 네트워크,Cartoon_Network,FALSE
작화,스타일,칼아츠 스타일,CalArts_style,FALSE
작화,스타일,그래픽 노벨,Graphic_Novel,FALSE
작화,스타일,미국 카툰,American_cartoon,FALSE
작화,스타일,미국 만화,American_comics,FALSE
작화,스타일,DC 코믹스,DC_Comics,FALSE
작화,스타일,마블 코믹스,Marvel_Comics,FALSE
작화,스타일,패러디,style_parody={},FALSE
작화,스타일,패러디,fine_art_parody={},FALSE
테마,장르,판타지,Fantasy,FALSE
테마,장르,다크 판타지,Dark_Fantasy,FALSE
테마,장르,고딕 판타지,Gothic_Fantasy,FALSE
테마,장르,어반 판타지,Urban_Fantasy,FALSE
테마,장르,로맨스 판타지,Romance_Fantasy,FALSE
테마,장르,스팀펑크,Steampunk,FALSE
테마,장르,디젤펑크,Dieselpunk,FALSE
테마,장르,사이버펑크,Cyberpunk,FALSE
테마,장르,아케인펑크,Arcanepunk,FALSE
테마,연도,20년대,20s-anime-aesthetic,FALSE
테마,연도,30년대,30s-anime-aesthetic,FALSE
테마,연도,40년대,40s-anime-aesthetic,FALSE
테마,연도,50년대,50s-anime-aesthetic,FALSE
테마,연도,60년대,60s-anime-aesthetic,FALSE
테마,연도,70년대,70s-anime-aesthetic,FALSE
테마,연도,80년대,80s-anime-aesthetic,FALSE
테마,연도,90년대,90s-anime-aesthetic,FALSE
테마,연도,00년대,00s-anime-aesthetic,FALSE
테마,연도,10년대,10s-anime-aesthetic,FALSE
테마,신화,그리스 신화,Greek_mythology,FALSE
테마,신화,북유럽 신화,Nordic_mythology,FALSE
테마,신화,수메르 신화,Sumerian_mythology,FALSE
테마,신화,슬라브 신화,Slavic_mythology,FALSE
테마,신화,아즈텍 신화,Aztec_mythology,FALSE
테마,신화,이집트 신화,Egyptian_mythology,FALSE
테마,신화,인도 신화,Indian_mythology,FALSE
테마,신화,일본 신화,Japanese_mythology,FALSE
테마,신화,중국 신화,Chinese_mythology,FALSE
테마,신화,켈트 신화,Celtic_mythology,FALSE
테마,표지,앨범 표지,album_cover,FALSE
테마,표지,싱글 캐릭터 표지,character_single,FALSE
테마,표지,작품 표지,cover_page,FALSE
테마,표지,동인지 표지,doujin_cover,FALSE
테마,표지,가짜 표지,fake_cover,FALSE
테마,표지,비디오 게임 표지,video_game_cover,FALSE
테마,표지,잡지 표지,magazine_cover,FALSE
테마,표지,만화 표지,manga_cover,FALSE
테마,음악,트로트,Teuroteu,FALSE
테마,음악,게임 음악,Game_music,FALSE
테마,음악,뉴뮤직,New_Music,FALSE
테마,음악,뉴에이지 음악,New_Age_music,FALSE
테마,음악,시티 팝,City_Pop,FALSE
테마,음악,애니메이션 음악,Animated_music,FALSE
테마,음악,엔카,Enka,FALSE
테마,음악,유로비트,Eurobeat,FALSE
테마,음악,일렉트로니카,Electronica,FALSE
테마,음악,가스펠,Gaspel,FALSE
테마,음악,댄스,Dance,FALSE
테마,음악,디스코,Disco,FALSE
테마,음악,레게,Reggae,FALSE
테마,음악,로큰롤,Rock_and_roll,FALSE
테마,음악,록,Rock,FALSE
테마,음악,발라드,Ballad,FALSE
테마,음악,블루스,Blues,FALSE
테마,음악,소울 음악,soulfulmusic,FALSE
테마,음악,재즈,Jazz,FALSE
테마,음악,전자 음악,electronic_music,FALSE
테마,음악,클래식,Classic,FALSE
테마,음악,팝,Pop,FALSE
테마,음악,펑크,Funk,FALSE
테마,음악,포크,Fork,FALSE
테마,미술,일본화,nihonga,FALSE
테마,미술,일본 페인팅,sumi-e,FALSE
테마,미술,우키요에,ukiyo-e,FALSE
테마,미술,아르데코,art_deco,FALSE
테마,미술,아르누보,art_nouveau,FALSE
테마,미술,낭만주의,Romanticism,FALSE
테마,미술,르네상스,Renaissance,FALSE
테마,미술,바로크,Baroque,FALSE
테마,미술,로코코,Rococo,FALSE
테마,미술,화염주의,flame_painter,FALSE
테마,미술,인상주의,impressionism,FALSE
테마,미술,미니멀리즘,minimalism,FALSE
테마,미술,콘트라포스토,contrapposto,FALSE
테마,미술,초현실주의,surreal,FALSE
테마,도구,구아슈,gouache,FALSE
테마,도구,마커,marker,FALSE
테마,도구,밀리펜,millipen,FALSE
테마,도구,볼펜,ballpoint_pen,FALSE
테마,도구,분필,chalk,FALSE
테마,도구,브러시,brush,FALSE
테마,도구,색 잉크,color_ink,FALSE
테마,도구,색연필,colored_pencil,FALSE
테마,도구,서예 붓,calligraphy_brush,FALSE
테마,도구,수채화,watercolor,FALSE
테마,도구,수채화 연필,watercolor_pencil,FALSE
테마,도구,숯,charcoal,FALSE
테마,도구,아크릴 물감,acrylic_paint,FALSE
테마,도구,에어브러시,airbrush,FALSE
테마,도구,유화,oil_painting,FALSE
테마,도구,잉크,ink,FALSE
테마,도구,캔버스,canvas,FALSE
테마,도구,크레용,crayon,FALSE
테마,도구,파스텔,pastel,FALSE
테마,도구,펜촉,nib_pen,FALSE
테마,도구,플라스틱 연필,coupy_pencil,FALSE
테마,도구,회화,painting,FALSE
테마,도구,흑연,graphite,FALSE
테마,포르노,AV,Adult_Video,TRUE
테마,포르노,포르노,porn,TRUE
테마,포르노,섹스 비디오 ,Sex_Video,TRUE
테마,포르노,리벤지 포르노 ,Revenge_Porn,TRUE
초점,집중,단독 집중,solo_focus,FALSE
초점,집중,남자에게 집중한다,male_focus,FALSE
초점,집중,여자에게 집중한다,girl_focus,FALSE
초점,집중,앞에 집중한다,front_focus,FALSE
초점,집중,뒤에 집중한다,back_focus,FALSE
초점,집중,밖에 집중한다,other_focus,FALSE
초점,집중,눈에 집중한다,eye_focus,FALSE
초점,집중,손에 집중한다,hand_focus,FALSE
초점,집중,발에 집중한다,foot_focus,FALSE
초점,집중,가슴에 집중한다,breast_focus,FALSE
초점,집중,가슴에 집중한다,pectoral_focus,FALSE
초점,집중,겨드랑이에 집중한다,armpit_focus,FALSE
초점,집중,배꼽에 집중한다,navel_focus,FALSE
초점,집중,허벅지에 집중한다,thigh_focus,FALSE
초점,집중,엉덩이에 집중한다,ass_focus,FALSE
초점,집중,엉덩이에 집중한다,hip_focus,FALSE
초점,강조,얼굴을 강조한다,face,FALSE
초점,강조,초상화,portrait,FALSE
초점,강조,상체에 집중한다,upper_body,FALSE
초점,강조,하체에 집중한다,lower_body,FALSE
초점,강조,얼굴~허벅지에 집중한다,cowboy_shot,FALSE
초점,강조,얼굴~발목에 집중한다,feet_out_of_frame,FALSE
초점,강조,몸에 집중한다,fullbody,FALSE
초점,강조,멀리서 몸에 집중한다,wide_shot,FALSE
초점,강조,더 멀리서 몸에 집중한다,very_wide_shot,FALSE
초점,시점,뷰어를 보고 있다,looking_at_viewer,FALSE
초점,시점,위를 보고 있다,looking_up,FALSE
초점,시점,아래를 보고 있다,looking_down,FALSE
초점,시점,앞을 보고 있다,looking_front,FALSE
초점,시점,뒤를 보고 있다,looking_back,FALSE
초점,시점,옆을 보고 있다,looking_away,FALSE
초점,시점,먼 곳을 보고 있다,looking_afar,FALSE
초점,시점,밖을 보고 있다,looking_outside,FALSE
초점,시점,측면을 보고 있다,looking_to_the_side,FALSE
초점,시점,눈을 보고 있다,eye_contact,FALSE
초점,시점,손을 보고 있다,looking_at_hand,FALSE
초점,시점,다리를 보고 있다,looking_through_legs,FALSE
초점,시점,가슴을 보고 있다,looking_at_breasts,FALSE
초점,시점,엉덩이를 보고 있다,looking_at_ass,FALSE
초점,시점,다른 사람을 보고 있다,looking_at_another,FALSE
초점,시점,거울을 보고 있다,looking_at_mirror,FALSE
초점,시점,휴대전화를 보고 있다,looking_at_phone,FALSE
초점,시점,안경 밖을 보고 있다,looking_over_eyewear,FALSE
연출,컷,1컷,1koma,FALSE
연출,컷,2컷,2koma,FALSE
연출,컷,3컷,3koma,FALSE
연출,컷,4컷,4koma,FALSE
연출,컷,다중 4컷,multiple_4koma,FALSE
연출,컷,5컷,5koma,FALSE
연출,컷,추가적인 컷씬,cross-section,FALSE
연출,컷,테두리 없는 컷,borderless_panels,FALSE
연출,컷,왼쪽에서 오른쪽 컷 진행,left-to-right_manga,FALSE
연출,컷,오른쪽에서 왼쪽 컷 진행,right-to-left_comic,FALSE
연출,컷,상하반전,upside-down,FALSE
연출,효과,불 효과,fire*_effect,FALSE
연출,효과,화염 효과,flame*_effect,FALSE
연출,효과,전기 효과,spark*_effect*_spark,FALSE
연출,효과,번개 효과,lightning*_effect,FALSE
연출,효과,바람 효과,Wind*_effect,FALSE
연출,효과,파도 효과,Wave*_effect,FALSE
