분류1,분류2,이름,태그목록,NSFW
얼굴,부위,얼굴,face,FALSE
얼굴,부위,뺨,cheek,FALSE
얼굴,부위,턱,chin,FALSE
얼굴,모양,얼굴이 작다,small_face,FALSE
얼굴,모양,얼굴이 살짝 작다,small_medium_face,FALSE
얼굴,모양,얼굴이 평범하다,medium_face,FALSE
얼굴,모양,얼굴이 크다,large_face,FALSE
얼굴,모양,얼굴이 매우 크다,huge_face,FALSE
얼굴,모양,얼굴이 날렵하다,sharp_face,FALSE
얼굴,모양,얼굴이 뾰족하다,pointed_face,FALSE
얼굴,모양,얼굴이 땅콩형이다,peanut_face,FALSE
얼굴,모양,얼굴이 타원형이다,round_face,FALSE
얼굴,모양,얼굴이 계란형이다,egg-shaped_face,FALSE
얼굴,모양,얼굴이 삼각형이다,triangular_face,FALSE
얼굴,모양,얼굴이 역삼각형이다,inverted_triangle_of_faces,FALSE
얼굴,모양,얼굴이 사각형이다,squareface,FALSE
얼굴,모양,얼굴이 마름모형이다,diamond_face,FALSE
얼굴,모양,얼굴이 육각형이다,hexagonal_face,FALSE
얼굴,모양,얼굴이 하트형이다,Heart-shaped_face,FALSE
얼굴,특징,뺨을 붉혔다,blush,FALSE
얼굴,특징,울고 있다,crying,FALSE
얼굴,특징,울면서 슬퍼한다,cried_so_sadly,FALSE
머리카락,색깔,흰색 머리카락,white hair,FALSE
머리카락,색깔,갈색 머리카락,brown hair,FALSE
머리카락,색깔,빨강색 머리카락,red hair,FALSE
머리카락,색깔,분홍색 머리카락,pink hair,FALSE
머리카락,색깔,주황색 머리카락,orange hair,FALSE
머리카락,색깔,노란색 머리카락,yellow hair,FALSE
머리카락,색깔,황금색 머리카락,Blonde hair,FALSE
머리카락,색깔,연두색 머리카락,light green hair,FALSE
머리카락,색깔,초록색 머리카락,green hair,FALSE
머리카락,색깔,하늘색 머리카락,sky blue hair,FALSE
머리카락,색깔,파란색 머리카락,blue hair,FALSE
머리카락,색깔,보라색 머리카락,purple hair,FALSE
머리카락,색깔,검은색 머리카락,black hair,FALSE
머리카락,색깔,무지개색 머리카락,rainbow hair,FALSE
