분류1,분류2,이름,태그목록,NSFW
머리 장식,머리띠,머리띠,"hairband, headband",FALSE
머리 장식,머리띠,머리 장식,headdress,FALSE
머리 장식,머리띠,머리 리본,hair_ribbon,FALSE
머리 장식,머리띠,이마 보호대,forehead_protector,FALSE
머리 장식,머리띠,땀띠,sweatband,FALSE
머리 장식,머리띠,두건(반다나),bandana,FALSE
머리 장식,머리띠,양갈래 머리띠,bow_hairband,FALSE
머리 장식,머리띠,프릴 머리띠,frilled_hairband,FALSE
머리 장식,머리띠,레이스 머리띠,lace_hairband,FALSE
머리 장식,머리띠,레이스 장식 머리띠,lace-trimmed_hairband,FALSE
머리 장식,머리띠,로리타 머리띠,lolita_hairband,FALSE
머리 장식,머리띠,스파이크 머리티,spiked_hairband,FALSE
머리 장식,머리띠,줄무늬 머리띠,striped_hairband,FALSE
머리 장식,머리띠,투 톤 머리띠,two-tone_hairband,FALSE
머리 장식,머리띠,날개 달린,winged_hairband,FALSE
머리 장식,머리띠,메이드 머리 장식,maid_headdress,FALSE
머리 장식,모자,베레모,beret,FALSE
머리 장식,모자,멕시코 모자,sombrero,FALSE
머리 장식,모자,비니,beanie,FALSE
머리 장식,모자,모피 모자,fur_hat,FALSE
머리 장식,모자,수면 모자,nightcap,FALSE
머리 장식,모자,파티 모자,party_hat,FALSE
머리 장식,모자,간호사 모자,nurse_cap,FALSE
머리 장식,모자,광대 모자,jester_cap,FALSE
머리 장식,모자,군사 모자,kepi,FALSE
머리 장식,모자,군용 모자,shako_cap,FALSE
머리 장식,모자,군인(상관) 모자,campaign_hat,FALSE
머리 장식,모자,귀족 모자,tate_eboshi,FALSE
머리 장식,모자,마녀 모자,witch_hat,FALSE
머리 장식,모자,작은 마녀 모자,mini_witch_hat,FALSE
머리 장식,모자,마법사 모자,wizard_hat,FALSE
머리 장식,모자,마술사 모자,top_hat,FALSE
머리 장식,모자,작은 마술사 모자,mini_top_hat,FALSE
머리 장식,모자,산타,santa_hat,FALSE
머리 장식,모자,미니 산타,mini_santa_hat,FALSE
머리 장식,모자,밀짚모자,straw_hat,FALSE
머리 장식,모자,밀짚모자(도사),rice_hat,FALSE
머리 장식,모자,밀짚모자(승려),ajirogasa,FALSE
머리 장식,모자,비행사 모자,aviator_cap,FALSE
머리 장식,모자,사제 모자,mitre,FALSE
